Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
PKN2	"Pak-2, PRK2, PRKCL2, STK7"	ENSG00000065243	"Protein kinase N2"	Q16513	1	88684222-88836255	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Apoptosis, Cell adhesion, Cell cycle, Cell division, Cilium biogenesis/degradation, Host-virus interaction, Transcription, Transcription regulation"	"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	5	"neutrophil: 80.7"	"Lineage enriched"	"Detected in all"	8	"granulocytes: 80.7"	"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA034861, HPA057913"	Approved		Supported	"Nucleoplasm,Nuclear bodies,Plasma membrane,Intermediate filaments,Centrosome,Cytosol"			Yes	No			"Cluster 21: Neutrophils - Unknown function"	"Cluster 40: Non-specific - Transcription"	"Cluster 55: Non-specific - Transcription"	"Cluster 37: Non-specific - mRNA processing"	"Cluster 55: Non-specific - Transcription"	41	"Nucleoplasm, Intermediate filaments"	"Nuclear bodies, Plasma membrane, Centrosome, Cytosol"	"HPA034861: AB_2674363, HPA057913: AB_2732617"	"unprognostic (1.10e-1)"	"unprognostic (1.56e-1)"	"unprognostic (2.23e-2)"	"unprognostic (3.71e-2)"	"unprognostic (3.50e-3)"	"unprognostic (3.51e-2)"	"unprognostic (4.49e-2)"	"unprognostic (2.46e-1)"	"unprognostic (2.27e-2)"	"potential prognostic unfavorable (2.46e-4)"	"validated prognostic favorable (1.43e-5)"	"validated prognostic favorable (8.91e-5)"	"unprognostic (3.46e-2)"	"unprognostic (1.37e-3)"	"unprognostic (1.55e-1)"	"unprognostic (2.23e-2)"	"unprognostic (3.38e-2)"	"unprognostic (3.06e-1)"	"unprognostic (2.23e-2)"	"unprognostic (3.23e-1)"	"unprognostic (1.63e-1)"	"unprognostic (1.85e-3)"	"unprognostic (1.56e-2)"	"unprognostic (2.18e-1)"	"unprognostic (1.31e-2)"	"unprognostic (4.42e-2)"	"unprognostic (1.00e-1)"	"unprognostic (1.03e-1)"	"unprognostic (3.40e-1)"	"unprognostic (3.62e-2)"	"unprognostic (7.91e-3)"
PLIN5	"LSDA5, LSDP5, MLDP, OXPAT"	ENSG00000214456	"Perilipin 5"	Q00G26	19	4522531-4535224	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 197.2;skeletal muscle: 143.9"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 103.7;Oocytes: 57.3;Ovarian stromal cells: 112.2;Serous glandular cells: 105.3;Skeletal myocytes: 71.2"	"Cell type enhanced"	"Detected in many"		"astrocyte: 56.0;bergmann glia: 27.5;choroid plexus epithelial cell: 29.8"	"Cancer enhanced"	"Detected in many"		"Liver Hepatocellular Carcinoma (TCGA): 23.9"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	7	"neutrophil: 13.8"	"Lineage enriched"	"Detected in single"	23	"granulocytes: 13.8"	"Low cancer specificity"	"Detected in some"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells, Skin - Sebaceous gland cells, Spleen - Neutrophils"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			HPA077050			Supported	"Vesicles,Lipid droplets"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 68: Non-specific - Protein processing"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 75: Serous glandular cells - Salivary secretion"	2	"Vesicles, Lipid droplets"		"HPA077050: "	"unprognostic (5.84e-3)"	"unprognostic (3.87e-3)"	"unprognostic (4.04e-2)"	"unprognostic (1.01e-1)"		"potential prognostic favorable (3.26e-4)"	"unprognostic (1.26e-2)"			"unprognostic (1.97e-1)"	"potential prognostic unfavorable (2.98e-4)"	"unprognostic (7.60e-2)"	"unprognostic (2.38e-2)"	"unprognostic (3.51e-3)"	"potential prognostic favorable (5.40e-4)"	"unprognostic (1.09e-3)"	"unprognostic (1.41e-2)"	"unprognostic (5.95e-2)"	"unprognostic (2.30e-2)"	"unprognostic (6.41e-2)"	"unprognostic (2.50e-1)"	"unprognostic (3.33e-1)"	"unprognostic (1.97e-3)"	"unprognostic (2.13e-1)"		"unprognostic (1.18e-1)"		"unprognostic (8.62e-2)"	"unprognostic (1.18e-1)"	"unprognostic (1.30e-1)"	"unprognostic (2.32e-2)"
PLPPR2	"LPPR2, PRG-4"	ENSG00000105520	"Phospholipid phosphatase related 2"	Q96GM1	19	11355386-11365698	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 114.3"	"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	4	"neutrophil: 71.5"	"Lineage enriched"	"Detected in many"	4	"granulocytes: 71.5"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA048973, HPA077966"	Approved		Uncertain	Nucleoplasm			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 64: Neuronal - Transcription"	"Cluster 29: Forebrain - Mixed function"	"Cluster 23: Non-specific - Transcription"	"Cluster 32: Smooth muscle cells - Muscle contraction"	33	Nucleoplasm		"HPA048973: AB_2680580, HPA077966: "	"unprognostic (2.14e-3)"	"unprognostic (1.31e-1)"		"unprognostic (1.09e-1)"	"unprognostic (3.72e-3)"	"unprognostic (2.51e-1)"	"unprognostic (1.51e-1)"	"unprognostic (8.64e-2)"	"unprognostic (4.31e-2)"	"potential prognostic unfavorable (2.92e-6)"	"unprognostic (4.37e-3)"	"unprognostic (2.57e-3)"	"unprognostic (1.93e-1)"	"unprognostic (2.18e-2)"		"unprognostic (7.87e-2)"	"unprognostic (1.37e-1)"	"unprognostic (1.07e-1)"	"unprognostic (2.92e-1)"	"unprognostic (2.41e-1)"	"unprognostic (7.75e-2)"	"unprognostic (6.90e-3)"	"unprognostic (3.18e-1)"	"unprognostic (1.20e-1)"	"unprognostic (8.45e-2)"	"unprognostic (1.36e-1)"	"unprognostic (1.81e-1)"	"unprognostic (1.69e-2)"	"unprognostic (7.52e-2)"	"unprognostic (2.00e-2)"	"unprognostic (1.47e-1)"
POLGARF	ORF-Y	ENSG00000291307	"POLG alternative reading frame"	A0A3B3IS91	15	89330208-89333809	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"		"Not detected"	"Not detected"															"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	5	"neutrophil: 3.1"	"Lineage enriched"	"Detected in single"	20	"granulocytes: 3.1"	"Not detected"	"Not detected"																	"Secreted - unknown location"	"No annotated function"	NA	NA			"Cluster 35: Neutrophils - Protein binding"		"Cluster 18: Non-specific - Mixed function"	"Cluster 67: Non-specific - Unknown function"																																				
PPP1R12B	"MGC131980, MGC87886, MYPT2, PP1bp55"	ENSG00000077157	"Protein phosphatase 1 regulatory subunit 12B"	O60237	1	202348699-202592706	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 344.7"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 898.4;Excitatory neurons: 218.0;Oligodendrocytes: 602.6;Skeletal myocytes: 228.3"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Stomach Adenocarcinoma (TCGA): 52.2"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	7	"neutrophil: 16.0"	"Lineage enriched"	"Detected in many"	7	"granulocytes: 16.0"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Liver - Hepatic stellate cells, Prostate - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA024171, HPA024640"	Enhanced		Approved	"Plasma membrane,Actin filaments"			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 30: White matter - Myelination"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 32: Smooth muscle cells - Muscle contraction"	7	"Plasma membrane, Actin filaments"		"HPA024171: AB_1854266, HPA024640: AB_1854265"	"unprognostic (2.21e-3)"	"unprognostic (1.64e-1)"	"unprognostic (3.16e-2)"	"unprognostic (6.59e-2)"	"unprognostic (9.63e-3)"	"unprognostic (9.14e-2)"	"unprognostic (4.27e-1)"	"unprognostic (2.16e-1)"	"unprognostic (3.73e-3)"	"unprognostic (1.60e-2)"	"validated prognostic favorable (1.76e-6)"	"validated prognostic favorable (9.56e-6)"	"unprognostic (3.03e-2)"	"unprognostic (3.82e-2)"	"unprognostic (9.66e-2)"	"unprognostic (2.99e-2)"	"unprognostic (2.69e-1)"	"unprognostic (6.00e-2)"	"unprognostic (1.53e-1)"	"unprognostic (1.33e-2)"	"unprognostic (4.35e-2)"	"unprognostic (1.17e-1)"	"unprognostic (2.10e-1)"	"unprognostic (8.36e-2)"	"unprognostic (3.23e-2)"	"unprognostic (2.29e-2)"	"unprognostic (8.13e-2)"	"potential prognostic unfavorable (6.99e-4)"	"unprognostic (1.72e-1)"	"unprognostic (3.31e-2)"	"unprognostic (3.90e-1)"
PROK2	"BV8, KAL4, MIT1, PK2"	ENSG00000163421	"Prokineticin 2"	Q9HC23	3	71771655-71785206	"Disease related genes, Human disease related genes, Predicted secreted proteins"	"Biological rhythms"	Neuropeptide	"Disease variant, Hypogonadotropic hypogonadism, Kallmann syndrome"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 63.7;lymphoid tissue: 21.9"	"Cell type enhanced"	"Detected in some"		"Macrophages: 12.2;Oocytes: 31.6;Serous glandular cells: 12.1;Spermatocytes: 18.2"	"Cell type enhanced"	"Detected in some"		"choroid plexus epithelial cell: 3.2;ependymal cell: 7.4;medium spiny neuron: 3.2"	"Cancer enhanced"	"Detected in some"		"Ovary Serous Cystadenocarcinoma (TCGA): 3.2"	"Region enriched"	"Detected in many"	7	"cerebral cortex: 30.8"	"Immune cell enriched"	"Detected in many"	50	"neutrophil: 416.1"	"Lineage enriched"	"Detected in many"	50	"granulocytes: 416.1"	"Cancer enhanced"	"Detected in some"		"Leukemia: 8.0;Myeloma: 5.7"	"Adipose visceral - Neutrophils, Heart muscle - Neutrophils, Liver - Neutrophils, Minor Salivary Gland - Neutrophils, Skeletal muscle - Neutrophils, Spleen - Neutrophils, Stomach - Neutrophils, Testis - Early spermatids, Thyroid gland - Neutrophils"	"Group enriched"	"Detected in some"	6	"basal ganglia: 2.7;hypothalamus: 1.1;olfactory bulb: 3.5"	"Low region specificity"	"Detected in many"			HPA041408	Approved				"Secreted to blood"	Neuropeptide	NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"	4			"HPA041408: AB_10964057"						"unprognostic (2.41e-1)"		"unprognostic (8.96e-2)"											"unprognostic (2.04e-1)"	"unprognostic (8.04e-2)"						"unprognostic (7.19e-3)"					"unprognostic (1.33e-1)"
PROX2	FLJ36749	ENSG00000119608	"Prospero homeobox 2"	Q3B8N5	14	74852871-74876154	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 2.4"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 1.6;granulocytes: 1.0;Inhibitory neurons: 1.1;Late spermatids: 1.7;Oligodendrocyte precursor cells: 1.4"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 11.0"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	7	"neutrophil: 10.7"	"Lineage enriched"	"Detected in many"	7	"granulocytes: 10.7"	"Not detected"	"Not detected"				"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			HPA045057	Uncertain						NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 40: Non-specific - Transcription"	"Cluster 48: Non-specific - Mixed function"	"Cluster 56: Non-specific - Sensory perception"	"Cluster 7: T-cells - T-cell receptor"				"HPA045057: AB_10960259"						"unprognostic (5.32e-2)"																				"unprognostic (4.19e-3)"					
PRR33	"C11orf89, LOC728008"	ENSG00000283787	"Proline rich 33"		11	1888078-1891895	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in many"		"adrenal gland: 22.7;lymphoid tissue: 27.7;skeletal muscle: 34.0"	"Cell type enriched"	"Detected in some"	4	"Skeletal myocytes: 6.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Immune cell enriched"	"Detected in single"	6	"neutrophil: 1.4"	"Lineage enriched"	"Detected in single"	6	"granulocytes: 1.4"	"Group enriched"	"Detected in some"	9	"Leukemia: 1.7;lymphoma: 4.3;Myeloma: 2.9"	"Adipose subcutaneous - Adipose progenitor cells, Kidney - T-cells, Minor Salivary Gland - Fibroblasts, Stomach - Fibroblasts"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 12: Non-specific - Vasculature"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 2: Skeletal myocytes - Muscle contraction"										"unprognostic (1.95e-2)"						"unprognostic (1.05e-1)"							"unprognostic (3.28e-1)"							"unprognostic (1.98e-1)"					
PRRG4	TMG4	ENSG00000135378	"Proline rich and Gla domain 4"	Q9BZD6	11	32829927-32858120	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 121.1;Basal squamous epithelial cells: 126.5;Squamous epithelial cells: 146.7;Suprabasal keratinocytes: 187.3"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 29.2;choroid plexus epithelial cell: 11.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	5	"neutrophil: 11.9"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 11.9"	"Low cancer specificity"	"Detected in many"			"Breast - Breast glandular cells, Liver - Hepatocytes, Lung - Alveolar cells type 1, Prostate - Prostate basal glandular cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA009040, HPA024566"	Uncertain		Uncertain	"Golgi apparatus"			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 12: Squamous epithelial cells - Keratinization"	20	"Golgi apparatus"		"HPA009040: AB_1079694, HPA024566: AB_2237712"	"unprognostic (4.42e-2)"	"unprognostic (3.06e-1)"	"unprognostic (1.28e-1)"	"unprognostic (8.56e-2)"	"unprognostic (3.89e-1)"	"unprognostic (1.62e-1)"	"unprognostic (1.26e-1)"	"unprognostic (1.33e-1)"	"unprognostic (1.57e-1)"	"unprognostic (2.60e-2)"	"potential prognostic favorable (3.70e-6)"	"unprognostic (1.48e-3)"	"unprognostic (3.33e-1)"	"unprognostic (4.11e-2)"	"unprognostic (7.19e-2)"	"unprognostic (7.17e-2)"	"potential prognostic unfavorable (3.68e-4)"	"unprognostic (2.26e-1)"	"unprognostic (3.82e-1)"	"unprognostic (1.48e-1)"	"unprognostic (5.91e-2)"	"potential prognostic unfavorable (1.96e-4)"	"unprognostic (8.53e-3)"	"unprognostic (3.22e-1)"	"unprognostic (9.82e-3)"	"unprognostic (4.28e-2)"	"unprognostic (2.44e-1)"	"unprognostic (1.44e-2)"	"unprognostic (1.27e-1)"	"unprognostic (4.89e-1)"	"unprognostic (1.40e-1)"
PTGS2	COX2	ENSG00000073756	"Prostaglandin-endoperoxide synthase 2"	P35354	1	186671791-186680922	"Cancer-related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Prostaglandin biosynthesis, Prostaglandin metabolism"	"Dioxygenase, Oxidoreductase, Peroxidase"	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 115.6;seminal vesicle: 123.1;urinary bladder: 156.5"	"Group enriched"	"Detected in many"	4	"Alveolar cells type 1: 225.6;Basal prostatic cells: 712.9;granulocytes: 577.7;Langerhans cells: 383.2;Macrophages: 272.0;monocytes: 363.4"	"Cell type enriched"	"Detected in many"	7	"endothelial cell: 100.5"	"Cancer enhanced"	"Detected in many"		"Lung Adenocarcinoma (TCGA): 34.5"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	16	"neutrophil: 11.8"	"Lineage enriched"	"Detected in single"	16	"granulocytes: 11.8"	"Low cancer specificity"	"Detected in many"			"Heart muscle - Fibroblasts"	"Region enhanced"	"Detected in many"		"hippocampal formation: 15.1"	"Low region specificity"	"Detected in all"			"CAB000113, HPA001335, CAB080135"	Enhanced		Supported	Vesicles,Cytosol	"Intracellular and membrane"	Enzyme	NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 53: Neurons - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 3: Basal prostatic cells - Lipid metabolism"	9	Vesicles	Cytosol	"CAB000113: , CAB080135: , HPA001335: AB_1079712"	"unprognostic (3.09e-2)"	"unprognostic (3.75e-3)"	"unprognostic (5.70e-2)"	"unprognostic (2.33e-2)"	"unprognostic (6.91e-3)"	"unprognostic (1.24e-1)"	"unprognostic (5.25e-2)"	"potential prognostic unfavorable (7.31e-4)"	"unprognostic (1.27e-1)"	"unprognostic (2.84e-1)"	"unprognostic (2.59e-1)"	"unprognostic (1.14e-2)"			"unprognostic (1.01e-2)"	"unprognostic (1.82e-2)"	"unprognostic (2.14e-1)"	"unprognostic (2.30e-1)"	"unprognostic (1.88e-1)"	"unprognostic (2.72e-1)"	"unprognostic (1.75e-1)"	"unprognostic (9.67e-3)"	"unprognostic (5.46e-2)"	"unprognostic (1.51e-1)"	"unprognostic (2.86e-1)"	"unprognostic (3.59e-1)"	"unprognostic (2.08e-2)"	"unprognostic (2.77e-2)"		"unprognostic (1.53e-1)"	"unprognostic (6.14e-2)"
PVALB	D22S749	ENSG00000100362	Parvalbumin	P20472	22	36800684-36819479	"Predicted intracellular proteins"		"Muscle protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 649.1;parathyroid gland: 2046.8;retina: 361.9"	"Group enriched"	"Detected in some"	5	"Distal tubular cells: 673.1;Horizontal cells: 747.2"	"Group enriched"	"Detected in many"	4	"cerebellar inhibitory: 402.3;thalamic excitatory: 121.6"	"Cancer enriched"	"Detected in many"	32	"Kidney Chromophobe (TCGA): 1671.3"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	5	"neutrophil: 4.6"	"Lineage enriched"	"Detected in single"	5	"granulocytes: 4.6"	"Group enriched"	"Detected in some"	9	"breast cancer: 16.4;Myeloma: 56.0"		"Region enriched"	"Detected in all"	5	"cerebellum: 2120.2"	"Low region specificity"	"Detected in all"			"CAB002515, HPA048536"	Enhanced		Approved	"Nucleoplasm,Nucleoli,Cell Junctions"			No	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"		Nucleoplasm	"Nucleoli, Cell Junctions"	"CAB002515: AB_563948, HPA048536: AB_2680433"	"unprognostic (3.87e-2)"	"unprognostic (1.31e-2)"	"potential prognostic unfavorable (2.70e-4)"				"unprognostic (2.52e-2)"	"unprognostic (4.22e-1)"	"unprognostic (3.47e-2)"	"unprognostic (9.15e-2)"	"unprognostic (1.99e-2)"	"unprognostic (1.27e-2)"	"unprognostic (5.23e-2)"		"unprognostic (2.06e-1)"	"unprognostic (5.92e-3)"	"unprognostic (5.78e-2)"	"unprognostic (2.07e-1)"	"unprognostic (2.28e-2)"	"unprognostic (2.25e-1)"	"unprognostic (4.54e-3)"						"unprognostic (1.41e-2)"			"unprognostic (1.28e-2)"	"unprognostic (1.57e-1)"
